ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêîÅiäÓñ{ï[Åj
R13402,ìåãûìs,ê¬Éñìáë∫,169,102,67,169,102,67,21,12,9,117,69,48,31,21,10,7,4,3,0,1,2,0,1,0,1,0,0,0
R13421,ìåãûìs,è¨ä}å¥ë∫,2929,1805,1124,2905,1792,1113,416,231,185,2099,1327,772,413,246,167,158,83,75,23,31,16,0,3,1,6,4,0,1
R14100,ê_ìﬁêÏåß,â°ïlés,3777491,1867305,1910186,3618590,1787120,1831470,441810,226591,215219,2316309,1179199,1137110,920583,407795,512788,483077,196216,286861,88067,24828,33619,112,3058,2101,9200,3442,10256,862
R14130,ê_ìﬁêÏåß,êÏçËés,1538262,775772,762490,1465906,739466,726440,189490,97260,92230,1001271,519940,481331,301151,134157,166994,153943,61807,92136,38482,12480,11594,33,1023,757,3826,1108,3804,399
R14150,ê_ìﬁêÏåß,ëäñÕå¥és,725493,362193,363300,690937,344898,346039,82532,42298,40234,435860,224715,211145,185236,83633,101603,94619,40355,54264,13334,4563,6671,32,428,363,1746,499,1757,139
R14201,ê_ìﬁêÏåß,â°ê{âÍés,388078,193513,194565,382667,190970,191697,40747,20867,19880,221918,117046,104872,124727,55166,69561,67032,27588,39444,5081,2025,4879,12,306,221,884,531,868,49
R14203,ê_ìﬁêÏåß,ïΩíÀés,258422,129056,129366,249623,124684,124939,29331,14997,14334,151095,78245,72850,72510,32492,40018,36945,15268,21677,4715,1513,2685,7,189,135,510,169,648,42
R14204,ê_ìﬁêÏåß,äôëqés,172710,81097,91613,170631,80086,90545,19587,9975,9612,98856,48270,50586,53378,22482,30896,30674,12074,18600,1401,890,1945,11,178,130,643,167,644,31
R14205,ê_ìﬁêÏåß,ì°ëÚés,436905,215596,221309,425047,209132,215915,56803,29091,27712,265260,135142,130118,106517,46383,60134,56326,22837,33489,5198,3223,3828,14,416,273,987,397,1420,77
R14206,ê_ìﬁêÏåß,è¨ìcå¥és,188856,91321,97535,183545,89142,94403,20684,10672,10012,108355,54551,53804,56588,24748,31840,29397,11627,17770,2312,1047,2322,11,152,109,413,132,604,33
R14207,ê_ìﬁêÏåß,äùÉñçËés,242389,117608,124781,238852,115694,123158,31061,15857,15204,144452,72042,72410,64882,28473,36409,34522,14225,20297,1753,1539,2244,6,162,131,402,169,557,50
